NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;NBJRR1;NBJRR5;NBJRR10;NBJBROU;TX;TN;TM;UMM;INST;FFM
92025001;COLOMBES;48.925167;2.255333;29;200210;76.2;13.0;5.0;3.0;0.0;17.4;9.3;13.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200211;120.2;13.0;8.0;6.0;0.0;12.5;7.6;10.1;;;
92025001;COLOMBES;48.925167;2.255333;29;200212;72.6;15.0;4.0;3.0;0.0;9.7;5.5;7.6;;;
92025001;COLOMBES;48.925167;2.255333;29;200301;47.3;11.0;2.0;0.0;0.0;6.6;1.1;3.9;;;
92025001;COLOMBES;48.925167;2.255333;29;200302;30.5;6.0;2.0;0.0;0.0;8.8;1.2;5.0;;;
92025001;COLOMBES;48.925167;2.255333;29;200303;13.4;3.0;1.0;0.0;0.0;17.0;5.9;11.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200304;30.8;6.0;1.0;1.0;0.0;18.6;7.2;12.9;;;
92025001;COLOMBES;48.925167;2.255333;29;200305;64.9;9.0;3.0;3.0;0.0;20.4;10.9;15.6;;;
92025001;COLOMBES;48.925167;2.255333;29;200306;105.0;9.0;4.0;2.0;0.0;27.0;16.6;21.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200307;72.3;9.0;4.0;3.0;0.0;27.0;16.3;21.6;;;
92025001;COLOMBES;48.925167;2.255333;29;200308;59.9;3.0;3.0;2.0;0.0;30.8;18.0;24.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200309;12.0;3.0;1.0;0.0;0.0;23.5;11.3;17.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200310;50.9;11.0;5.0;0.0;0.0;14.6;6.4;10.5;;;
92025001;COLOMBES;48.925167;2.255333;29;200311;54.0;12.0;2.0;1.0;0.0;13.0;6.4;9.7;;;
92025001;COLOMBES;48.925167;2.255333;29;200312;48.1;9.0;4.0;1.0;0.0;8.3;3.1;5.7;;;
92025001;COLOMBES;48.925167;2.255333;29;200401;83.8;15.0;5.0;2.0;0.0;8.2;3.2;5.7;;;
92025001;COLOMBES;48.925167;2.255333;29;200402;3.5;1.0;0.0;0.0;0.0;10.2;3.4;6.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200403;30.8;10.0;3.0;0.0;0.0;12.7;4.0;8.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200404;66.3;13.0;4.0;2.0;0.0;17.0;7.5;12.3;;;
92025001;COLOMBES;48.925167;2.255333;29;200405;42.2;7.0;3.0;2.0;0.0;20.2;9.3;14.7;;;
92025001;COLOMBES;48.925167;2.255333;29;200406;19.0;4.0;1.0;0.0;0.0;24.9;13.6;19.2;;;
92025001;COLOMBES;48.925167;2.255333;29;200407;50.2;10.0;4.0;1.0;0.0;25.4;14.9;20.1;;;
92025001;COLOMBES;48.925167;2.255333;29;200408;93.5;15.0;7.0;2.0;0.0;26.2;16.2;21.2;;;
92025001;COLOMBES;48.925167;2.255333;29;200409;25.6;5.0;2.0;1.0;0.0;23.6;13.5;18.5;;;
92025001;COLOMBES;48.925167;2.255333;29;200410;95.7;10.0;7.0;2.0;;17.3;9.9;13.6;;;
92025001;COLOMBES;48.925167;2.255333;29;200411;27.4;8.0;1.0;0.0;;10.8;6.1;8.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200412;39.4;8.0;3.0;1.0;;6.8;2.2;4.5;;;
92025001;COLOMBES;48.925167;2.255333;29;200501;47.4;12.0;2.0;1.0;;8.6;3.8;6.2;;;
92025001;COLOMBES;48.925167;2.255333;29;200502;23.2;7.0;1.0;0.0;;7.3;1.4;4.4;;;
92025001;COLOMBES;48.925167;2.255333;29;200503;42.2;10.0;3.0;0.0;;13.2;4.3;8.8;;;
92025001;COLOMBES;48.925167;2.255333;29;200504;60.9;13.0;3.0;2.0;;17.4;7.8;12.6;;;
